PCR,ALLOCATION_METHOD,PROC_CATEGORY,PROC_CATEGORY_CNAME,PRODUCT_CATEGORY,PRODUCT_CATEGORY_CNAME,ALLOCATION_FACTOR
CONS,ECONOMIC,CO_STEAM,炼焦-副产品为蒸汽,BENZOL,粗苯,0.0378000000
CONS,ECONOMIC,BOF,转炉,STEAM,低压蒸汽,0.0036000000
CONS,ECONOMIC,BOF,转炉,STEEL,钢水/连铸坯,0.9877000000
CONS,ECONOMIC,BF,高炉,BFG,粗高炉煤气,0.0545000000
CONS,ECONOMIC,CO_CDQ,炼焦-副产品为CDQ电,COKE,焦炭,0.7772000000
CONS,ECONOMIC,BOF,转炉,BOFG,转炉煤气,0.0084000000
CONS,ECONOMIC,CO_CDQ,炼焦-副产品为CDQ电,COG,粗焦炉煤气,0.1081000000
CONS,ECONOMIC,CO_STEAM,炼焦-副产品为蒸汽,COKE,焦炭,0.7638000000
CONS,ECONOMIC,CO_STEAM,炼焦-副产品为蒸汽,TAR,焦油,0.0520000000
CONS,ECONOMIC,BF,高炉,IRON,铁水,0.9322000000
CONS,ECONOMIC,CO_CDQ,炼焦-副产品为CDQ电,TAR_AND_BENZOL,焦油粗笨,0.0914000000
CONS,ECONOMIC,CO_CDQ,炼焦-副产品为CDQ电,CDQ,CDQ电,0.0232000000
CONS,ECONOMIC,BF,高炉,TRT,TRT电,0.0094000000
CONS,ECONOMIC,CO_STEAM,炼焦-副产品为蒸汽,STEAM,高/中压蒸汽,0.0401000000
CONS,ECONOMIC,BF,高炉,BF_SLAG,高炉水渣,0.0038000000
CONS,ECONOMIC,CO_CDQ,炼焦-副产品为CDQ电,BENZOL,粗苯,0.0385000000
CONS,ECONOMIC,CO_STEAM,炼焦-副产品为蒸汽,COG,粗焦炉煤气,0.1063000000
CONS,ECONOMIC,CO_STEAM,炼焦-副产品为蒸汽,TAR_AND_BENZOL,焦油粗笨,0.0898000000
CONS,ECONOMIC,CO_CDQ,炼焦-副产品为CDQ电,TAR,焦油,0.0529000000
CONS,ECONOMIC,BOF,转炉,BOF_SLAG,转炉渣,0.0003000000
